127.0.0.1 - - [06/Dec/2022:00:01:19 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:03:51 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:03:51 +0900] "GET /product/category_select?page=1&recordSize=10&pageSize=10 HTTP/1.1" 200 29695
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:03:51 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:03:51 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:03:52 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:24 +0900] "GET /product/category_select?categoryBox=defaultValue HTTP/1.1" 200 29695
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:24 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:24 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:24 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:24 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:24 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:24 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:25 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:25 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:25 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:25 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:25 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:04:25 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /product/category_insert?insertresult=0 HTTP/1.1" 200 25536
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:10 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /product/category_select?page=1&recordSize=10&pageSize=10 HTTP/1.1" 200 29695
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:36 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /product/category_select?categoryBox=1300%2FTEST_3 HTTP/1.1" 200 27276
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:05:38 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /product/category_insert?insertresult=0 HTTP/1.1" 200 25536
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:00 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:29 +0900] "POST /product/category_insert/INSERT HTTP/1.1" 400 908
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /product/category_insert?insertresult=0 HTTP/1.1" 200 25797
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:32 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /product/category_select?page=1&recordSize=10&pageSize=10 HTTP/1.1" 200 29956
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:34 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /product/category_select?categoryBox=1300%2FTEST_3 HTTP/1.1" 200 27654
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:36 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:39 +0900] "GET /product/category_insert?insertresult=0 HTTP/1.1" 200 25797
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:39 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:39 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:06:40 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "POST /product/category_insert/INSERT HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /product/category_insert?page=1&pageSize=10&recordSize=10 HTTP/1.1" 200 26175
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:04 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:45 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /product/category_select?page=1&recordSize=10&pageSize=10 HTTP/1.1" 200 30217
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170812
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 95244
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:46 +0900] "GET /js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:47 +0900] "GET /product/img/undraw_rocket.svg HTTP/1.1" 404 129
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:07:47 +0900] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:08:08 +0900] "GET /product/category_select?categoryBox=1300%2FTEST_3 HTTP/1.1" 200 28032
0:0:0:0:0:0:0:1 - - [06/Dec/2022:00:08:08 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
